WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD205TEA1,1,8614,944,0,-3.6
AANBD205TEA1,2,8604,944,19.3,-19.3
AANBD205TEA1,3,8602,944,19.3,19.3
AANBD205TEA1,4,8595,945,-47.5,-36.4
AANBD205TEA1,5,8593,945,-57.9,19.3
AANBD205TEA1,6,8592,945,-19.3,-57.9
AANBD205TEA1,7,8589,944,-19.3,57.9
AANBD205TEA1,8,8581,943,71.2,-3.6
AANBD205TEA1,9,8575,943,57.9,57.9
AANBD205TEA1,10,8569,945,-71.2,61.9
AANBD205TEA1,11,8568,943,19.3,-96.5
AANBD205TEA1,12,8568,943,19.3,96.5
AANBD205TEA1,13,8567,943,96.5,19.3
AANBD205TEA1,14,8569,943,71.2,-69.2
AANBD205TEA1,15,8560,945,-96.5,-57.9
AANBD205TEA1,16,8558,945,-57.9,-96.5
AANBD205TEA1,17,8559,945,-57.9,96.5
AANBD205TEA1,18,8558,942,94.9,61.8
AANBD205TEA1,19,8556,945,-118.6,-3.6
AANBD205TEA1,20,8552,943,0,127.4
AANBD205TEA1,21,8552,945,0,-134.7
AANBD205TEA1,22,8551,945,-96.5,96.5
AANBD205TEA1,23,8553,943,96.5,-96.5
AANBD205TEA1,24,8548,943,136.2,19.3
AANBD205TEA1,25,8558,943,71.2,127.4
AANBD205TEA1,26,8560,943,141.9,-35.9
AANBD205TEA1,27,8582,946,-135.7,-57.4
AANBD205TEA1,28,8581,946,-135.7,57.4
AANBD205TEA1,29,8586,945,-57.4,-135.7
AANBD205TEA1,30,8579,945,-57.4,135.7
AANBD205TEA1,31,8588,944,57.4,-135.7
AANBD205TEA1,32,8574,943,135.7,57.4
AANBD228TEH1,1,8606,943,0,-3.6
AANBD228TEH1,2,8593,943,19.3,-19.3
AANBD228TEH1,3,8595,943,19.3,19.3
AANBD228TEH1,4,8588,944,-47.5,-36.4
AANBD228TEH1,5,8588,944,-57.9,19.3
AANBD228TEH1,6,8585,944,-19.3,-57.9
AANBD228TEH1,7,8586,944,-19.3,57.9
AANBD228TEH1,8,8571,943,71.2,-3.6
AANBD228TEH1,9,8569,943,57.9,57.9
AANBD228TEH1,10,8565,944,-71.2,61.9
AANBD228TEH1,11,8558,943,19.3,-96.5
AANBD228TEH1,12,8561,943,19.3,96.5
AANBD228TEH1,13,8558,942,96.5,19.3
AANBD228TEH1,14,8558,942,71.2,-69.2
AANBD228TEH1,15,8556,945,-96.5,-57.9
AANBD228TEH1,16,8552,945,-57.9,-96.5
AANBD228TEH1,17,8555,944,-57.9,96.5
AANBD228TEH1,18,8550,942,94.9,61.8
AANBD228TEH1,19,8552,945,-118.6,-3.6
AANBD228TEH1,20,8548,943,0,127.4
AANBD228TEH1,21,8543,944,0,-134.7
AANBD228TEH1,22,8549,945,-96.5,96.5
AANBD228TEH1,23,8546,943,96.5,-96.5
AANBD228TEH1,24,8544,942,136.2,19.3
AANBD228TEH1,25,8556,942,71.2,127.4
AANBD228TEH1,26,8549,942,141.9,-35.9
AANBD228TEH1,27,8571,945,-135.7,-57.4
AANBD228TEH1,28,8580,946,-135.7,57.4
AANBD228TEH1,29,8565,945,-57.4,-135.7
AANBD228TEH1,30,8580,944,-57.4,135.7
AANBD228TEH1,31,8564,943,57.4,-135.7
AANBD228TEH1,32,8570,942,135.7,57.4
AANBD203TEG3,1,8621,944,0,-3.6
AANBD203TEG3,2,8610,944,19.3,-19.3
AANBD203TEG3,3,8607,944,19.3,19.3
AANBD203TEG3,4,8602,945,-47.5,-36.4
AANBD203TEG3,5,8598,945,-57.9,19.3
AANBD203TEG3,6,8600,945,-19.3,-57.9
AANBD203TEG3,7,8597,944,-19.3,57.9
AANBD203TEG3,8,8583,944,71.2,-3.6
AANBD203TEG3,9,8575,943,57.9,57.9
AANBD203TEG3,10,8568,945,-71.2,61.9
AANBD203TEG3,11,8568,944,19.3,-96.5
AANBD203TEG3,12,8564,943,19.3,96.5
AANBD203TEG3,13,8565,943,96.5,19.3
AANBD203TEG3,14,8568,943,71.2,-69.2
AANBD203TEG3,15,8558,945,-96.5,-57.9
AANBD203TEG3,16,8556,945,-57.9,-96.5
AANBD203TEG3,17,8557,945,-57.9,96.5
AANBD203TEG3,18,8554,943,94.9,61.8
AANBD203TEG3,19,8553,945,-118.6,-3.6
AANBD203TEG3,20,8548,944,0,127.4
AANBD203TEG3,21,8549,945,0,-134.7
AANBD203TEG3,22,8551,946,-96.5,96.5
AANBD203TEG3,23,8550,943,96.5,-96.5
AANBD203TEG3,24,8547,943,136.2,19.3
AANBD203TEG3,25,8555,943,71.2,127.4
AANBD203TEG3,26,8561,943,141.9,-35.9
AANBD203TEG3,27,8582,946,-135.7,-57.4
AANBD203TEG3,28,8584,946,-135.7,57.4
AANBD203TEG3,29,8586,946,-57.4,-135.7
AANBD203TEG3,30,8578,945,-57.4,135.7
AANBD203TEG3,31,8581,944,57.4,-135.7
AANBD203TEG3,32,8574,943,135.7,57.4
AANBD225TEB6,1,8605,940,0,-3.6
AANBD225TEB6,2,8598,940,19.3,-19.3
AANBD225TEB6,3,8599,939,19.3,19.3
AANBD225TEB6,4,8592,940,-47.5,-36.4
AANBD225TEB6,5,8592,941,-57.9,19.3
AANBD225TEB6,6,8591,940,-19.3,-57.9
AANBD225TEB6,7,8593,940,-19.3,57.9
AANBD225TEB6,8,8577,940,71.2,-3.6
AANBD225TEB6,9,8574,938,57.9,57.9
AANBD225TEB6,10,8569,941,-71.2,61.9
AANBD225TEB6,11,8562,939,19.3,-96.5
AANBD225TEB6,12,8567,938,19.3,96.5
AANBD225TEB6,13,8560,938,96.5,19.3
AANBD225TEB6,14,8562,938,71.2,-69.2
AANBD225TEB6,15,8555,941,-96.5,-57.9
AANBD225TEB6,16,8554,941,-57.9,-96.5
AANBD225TEB6,17,8559,940,-57.9,96.5
AANBD225TEB6,18,8552,937,94.9,61.8
AANBD225TEB6,19,8551,942,-118.6,-3.6
AANBD225TEB6,20,8553,938,0,127.4
AANBD225TEB6,21,8544,940,0,-134.7
AANBD225TEB6,22,8554,942,-96.5,96.5
AANBD225TEB6,23,8544,939,96.5,-96.5
AANBD225TEB6,24,8542,938,136.2,19.3
AANBD225TEB6,25,8558,937,71.2,127.4
AANBD225TEB6,26,8549,938,141.9,-35.9
AANBD225TEB6,27,8571,943,-135.7,-57.4
AANBD225TEB6,28,8580,943,-135.7,57.4
AANBD225TEB6,29,8573,942,-57.4,-135.7
AANBD225TEB6,30,8586,941,-57.4,135.7
AANBD225TEB6,31,8562,939,57.4,-135.7
AANBD225TEB6,32,8570,938,135.7,57.4
