Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,BTM_Mean_Thickness,DMT_Mean_Thickness,Wafer_Example
-135.6,-57.4,4,40.383,3.257,36.888,44.584,1.5,8610.75,8570.368,AANBD228TEH1
-135.6,57.4,4,45.89,1.831,43.511,47.903,1.5,8617.0,8571.11,AANBD228TEH1
-119.3,-3.3,4,-7.618,1.526,-9.613,-6.129,1.523,8553.75,8561.368,AANBD228TEH1
-96.2,-57.4,4,-8.713,0.807,-9.663,-7.693,1.03,8557.75,8566.463,AANBD228TEH1
-96.2,96.2,4,-8.605,1.389,-10.475,-7.16,0.707,8552.25,8560.855,AANBD228TEH1
-71.6,62.4,4,-9.559,0.494,-10.298,-9.266,1.36,8568.25,8577.808,AANBD228TEH1
-57.4,-135.6,4,37.389,5.591,32.239,43.817,1.5,8610.5,8573.11,AANBD228TEH1
-57.4,-96.2,4,-9.03,2.005,-10.79,-6.269,1.03,8555.5,8564.53,AANBD228TEH1
-57.4,18.6,4,-12.233,1.615,-13.713,-10.806,1.581,8593.0,8605.232,AANBD228TEH1
-57.4,96.2,4,-8.657,2.063,-11.248,-6.421,1.03,8557.75,8566.407,AANBD228TEH1
-57.4,135.6,4,47.157,2.982,43.616,50.442,1.5,8617.25,8570.093,AANBD228TEH1
-47.8,-36.2,4,-11.068,0.551,-11.661,-10.347,0.64,8594.75,8605.818,AANBD228TEH1
-18.6,-57.4,4,-11.366,0.821,-12.454,-10.518,1.581,8592.5,8603.866,AANBD228TEH1
-18.6,57.4,4,-11.399,0.862,-12.661,-10.762,1.581,8592.0,8603.399,AANBD228TEH1
0.0,-134.8,4,-8.586,1.995,-11.566,-7.351,0.3,8547.75,8556.336,AANBD228TEH1
0.0,-1.8,4,-14.01,1.775,-16.196,-11.849,3.6,8611.75,8625.76,AANBD228TEH1
0.0,126.7,4,-8.689,1.172,-10.295,-7.691,1.4,8550.75,8559.439,AANBD228TEH1
18.6,-96.2,4,-10.074,0.932,-10.894,-9.212,1.393,8564.5,8574.574,AANBD228TEH1
18.6,-20.2,4,-11.625,1.285,-13.489,-10.619,2.14,8602.0,8613.625,AANBD228TEH1
18.6,18.6,4,-12.996,1.542,-13.975,-10.715,1.838,8601.25,8614.246,AANBD228TEH1
18.6,96.2,4,-9.06,0.703,-9.969,-8.445,1.393,8565.75,8574.81,AANBD228TEH1
57.4,-135.6,4,32.66,5.519,26.878,38.443,1.5,8606.75,8574.09,AANBD228TEH1
57.4,57.4,4,-9.922,0.612,-10.746,-9.363,1.273,8574.0,8583.922,AANBD228TEH1
71.6,-69.1,4,-7.092,0.94,-7.733,-5.725,0.825,8564.75,8571.842,AANBD228TEH1
71.6,-3.3,4,-8.909,0.68,-9.71,-8.271,1.0,8578.5,8587.409,AANBD228TEH1
71.6,126.7,4,-3.575,0.785,-4.541,-2.619,1.612,8557.5,8561.075,AANBD228TEH1
95.4,62.4,4,-6.369,1.272,-7.932,-4.91,1.628,8554.5,8560.869,AANBD228TEH1
96.2,-96.2,4,-7.966,2.164,-10.287,-5.884,0.707,8548.75,8556.716,AANBD228TEH1
96.2,18.6,4,-8.176,1.334,-9.542,-6.51,1.393,8563.25,8571.426,AANBD228TEH1
135.6,18.6,4,-7.986,1.864,-10.205,-5.698,1.769,8545.75,8553.736,AANBD228TEH1
141.4,-36.0,4,-4.133,1.129,-5.745,-3.114,0.906,8556.0,8560.133,AANBD228TEH1
