WaferID,DMT_X_mm,DMT_Y_mm,DMT_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,DMT_File,TFK_File
AANBD067TEA4,0.0,0.0,8659.185,0.0067,-3.6622,8649.450195,3.6622061288245367,9.734805000000051,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,18.0,18.0,8655.135,19.3019,19.3019,8645.0,1.8411646368535322,10.135000000000218,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,18.0,-21.0,8653.763,19.3019,-19.3019,8645.230469,2.1397399888771536,8.532531000000745,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-48.0,-36.0,8650.501,-47.4578,-36.4348,8644.44043,0.6950049496226653,6.060569999999643,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-57.0,18.0,8651.891,-57.9062,19.3019,8641.709961,1.5862351811758546,10.181038999999146,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-18.0,-57.0,8649.92,-19.3019,-57.9062,8643.299805,1.5862351811758546,6.620194999999512,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-18.0,57.0,8651.61,-19.3019,57.9062,8643.379883,1.5862351811758546,8.230117000000973,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,72.0,-3.0,8631.938,71.2039,-3.6622,8629.519531,1.035511491969062,2.4184690000001865,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,57.0,57.0,8627.901,57.9062,57.9062,8620.450195,1.2815603302224963,7.4508050000004005,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-72.0,63.0,8613.703,-71.1902,61.8829,8606.610352,1.37974216794298,7.092647999999826,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
