Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,DMT_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-135.6,-57.5,4,-49.24,4.525,-53.544,-45.314,1.504,8570.368,8619.607,AANBD205TEA1
-135.6,57.5,4,-52.35,2.615,-54.964,-48.911,1.504,8571.11,8623.46,AANBD205TEA1
-119.3,-3.3,4,14.043,1.51,12.669,16.023,1.499,8561.368,8547.325,AANBD205TEA1
-96.3,-57.5,4,13.73,1.274,12.382,14.833,1.04,8566.463,8552.732,AANBD205TEA1
-96.3,96.3,4,15.895,1.606,14.701,18.245,0.721,8560.855,8544.96,AANBD205TEA1
-71.6,62.4,4,14.464,1.255,12.86,15.496,1.38,8577.808,8563.345,AANBD205TEA1
-57.5,-135.6,4,-45.45,9.444,-56.637,-35.399,1.504,8573.11,8618.56,AANBD205TEA1
-57.5,-96.3,4,14.633,2.281,11.779,17.35,1.04,8564.53,8549.898,AANBD205TEA1
-57.5,18.7,4,13.712,1.261,12.564,15.513,1.586,8605.232,8591.52,AANBD205TEA1
-57.5,96.3,4,14.54,3.75,11.236,19.158,1.04,8566.407,8551.867,AANBD205TEA1
-57.5,135.6,4,-51.525,5.582,-58.662,-46.316,1.504,8570.093,8621.617,AANBD205TEA1
-47.7,-36.2,4,12.961,1.33,11.235,14.091,0.695,8605.818,8592.857,AANBD205TEA1
-18.7,-57.5,4,13.026,0.838,11.971,14.018,1.586,8603.866,8590.84,AANBD205TEA1
-18.7,57.5,4,15.114,2.148,12.719,17.701,1.586,8603.399,8588.285,AANBD205TEA1
0.0,-134.9,4,14.331,2.679,12.345,18.286,0.247,8556.336,8542.005,AANBD205TEA1
0.0,-1.8,4,14.472,2.471,10.909,16.466,3.662,8625.76,8611.288,AANBD205TEA1
0.0,126.7,4,15.224,1.064,13.731,16.058,1.428,8559.439,8544.215,AANBD205TEA1
18.7,-96.3,4,14.924,1.142,13.442,16.013,1.398,8574.574,8559.65,AANBD205TEA1
18.7,-20.2,4,12.64,1.458,10.719,14.259,2.14,8613.625,8600.985,AANBD205TEA1
18.7,18.7,4,13.546,2.553,11.095,17.125,1.841,8614.246,8600.7,AANBD205TEA1
18.7,96.3,4,13.981,0.965,12.575,14.746,1.398,8574.81,8560.83,AANBD205TEA1
57.5,-135.6,4,-38.608,8.981,-48.923,-30.408,1.504,8574.09,8612.698,AANBD205TEA1
57.5,57.5,4,14.33,0.8,13.153,14.946,1.282,8583.922,8569.593,AANBD205TEA1
71.6,-69.1,4,11.877,1.151,10.714,12.946,0.823,8571.842,8559.965,AANBD205TEA1
71.6,-3.3,4,12.149,1.839,10.015,14.331,1.036,8587.409,8575.26,AANBD205TEA1
71.6,126.7,4,8.93,0.568,8.119,9.401,1.635,8561.075,8552.145,AANBD205TEA1
95.5,62.4,4,12.087,1.0,10.656,12.92,1.543,8560.869,8548.782,AANBD205TEA1
96.3,-96.3,4,13.069,1.016,11.964,14.307,0.721,8556.716,8543.647,AANBD205TEA1
96.3,18.7,4,12.674,2.517,11.112,16.409,1.398,8571.426,8558.752,AANBD205TEA1
135.6,18.7,4,15.058,1.733,12.655,16.545,1.771,8553.736,8538.677,AANBD205TEA1
141.7,-36.2,4,1.226,3.26,-2.4,4.094,1.467,8560.133,8558.908,AANBD205TEA1
