X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-49.24,,49.24,1.0,8570.37,8619.61
-135.0,57.0,DMT-TFK,-52.35,,52.35,1.0,8571.11,8623.46
-120.0,-3.0,DMT-TFK,14.04,,14.04,1.0,8561.37,8547.32
-96.0,-57.0,DMT-TFK,13.73,,13.73,1.0,8566.46,8552.73
-96.0,96.0,DMT-TFK,15.9,,15.9,1.0,8560.86,8544.96
-72.0,63.0,DMT-TFK,14.46,,14.46,1.0,8577.81,8563.34
-57.0,-135.0,DMT-TFK,-45.45,,45.45,1.0,8573.11,8618.56
-57.0,-96.0,DMT-TFK,14.63,,14.63,1.0,8564.53,8549.9
-57.0,18.0,DMT-TFK,13.71,,13.71,1.0,8605.23,8591.52
-57.0,96.0,DMT-TFK,14.54,,14.54,1.0,8566.41,8551.87
-57.0,135.0,DMT-TFK,-51.52,,51.52,1.0,8570.09,8621.62
-48.0,-36.0,DMT-TFK,12.96,,12.96,1.0,8605.82,8592.86
-18.0,-57.0,DMT-TFK,13.03,,13.03,1.0,8603.87,8590.84
-18.0,57.0,DMT-TFK,15.11,,15.11,1.0,8603.4,8588.28
0.0,-135.0,DMT-TFK,14.33,,14.33,1.0,8556.34,8542.0
0.0,0.0,DMT-TFK,14.47,,14.47,1.0,8625.76,8611.29
0.0,126.0,DMT-TFK,15.22,,15.22,1.0,8559.44,8544.21
18.0,-96.0,DMT-TFK,14.92,,14.92,1.0,8574.57,8559.65
18.0,-21.0,DMT-TFK,12.64,,12.64,1.0,8613.63,8600.99
18.0,18.0,DMT-TFK,13.55,,13.55,1.0,8614.25,8600.7
18.0,96.0,DMT-TFK,13.98,,13.98,1.0,8574.81,8560.83
57.0,-135.0,DMT-TFK,-38.61,,38.61,1.0,8574.09,8612.7
57.0,57.0,DMT-TFK,14.33,,14.33,1.0,8583.92,8569.59
72.0,-69.0,DMT-TFK,11.88,,11.88,1.0,8571.84,8559.97
72.0,-3.0,DMT-TFK,12.15,,12.15,1.0,8587.41,8575.26
72.0,126.0,DMT-TFK,8.93,,8.93,1.0,8561.07,8552.15
96.0,-96.0,DMT-TFK,13.07,,13.07,1.0,8556.72,8543.65
96.0,18.0,DMT-TFK,12.67,,12.67,1.0,8571.43,8558.75
96.0,63.0,DMT-TFK,12.09,,12.09,1.0,8560.87,8548.78
135.0,18.0,DMT-TFK,15.06,,15.06,1.0,8553.74,8538.68
141.0,-36.0,DMT-TFK,1.23,,1.23,1.0,8560.13,8558.91
-136.2,-57.9,BTM-DMT,40.38,,40.38,1.0,8610.75,8570.37
-136.2,57.9,BTM-DMT,45.89,,45.89,1.0,8617.0,8571.11
-118.6,-3.6,BTM-DMT,-7.62,,7.62,1.0,8553.75,8561.37
-96.5,-57.9,BTM-DMT,-8.71,,8.71,1.0,8557.75,8566.46
-96.5,96.5,BTM-DMT,-8.6,,8.6,1.0,8552.25,8560.86
-71.2,61.9,BTM-DMT,-9.56,,9.56,1.0,8568.25,8577.81
-57.9,-136.2,BTM-DMT,37.39,,37.39,1.0,8610.5,8573.11
-57.9,-96.5,BTM-DMT,-9.03,,9.03,1.0,8555.5,8564.53
-57.9,19.3,BTM-DMT,-12.23,,12.23,1.0,8593.0,8605.23
-57.9,96.5,BTM-DMT,-8.66,,8.66,1.0,8557.75,8566.41
-57.9,136.2,BTM-DMT,47.16,,47.16,1.0,8617.25,8570.09
-47.5,-36.4,BTM-DMT,-11.07,,11.07,1.0,8594.75,8605.82
-19.3,-57.9,BTM-DMT,-11.37,,11.37,1.0,8592.5,8603.87
-19.3,57.9,BTM-DMT,-11.4,,11.4,1.0,8592.0,8603.4
0.0,-134.7,BTM-DMT,-8.59,,8.59,1.0,8547.75,8556.34
0.0,-3.6,BTM-DMT,-14.01,,14.01,1.0,8611.75,8625.76
0.0,127.4,BTM-DMT,-8.69,,8.69,1.0,8550.75,8559.44
19.3,-96.5,BTM-DMT,-10.07,,10.07,1.0,8564.5,8574.57
19.3,-19.3,BTM-DMT,-11.63,,11.63,1.0,8602.0,8613.63
19.3,19.3,BTM-DMT,-13.0,,13.0,1.0,8601.25,8614.25
19.3,96.5,BTM-DMT,-9.06,,9.06,1.0,8565.75,8574.81
57.9,-136.2,BTM-DMT,32.66,,32.66,1.0,8606.75,8574.09
57.9,57.9,BTM-DMT,-9.92,,9.92,1.0,8574.0,8583.92
71.2,-69.2,BTM-DMT,-7.09,,7.09,1.0,8564.75,8571.84
71.2,-3.6,BTM-DMT,-8.91,,8.91,1.0,8578.5,8587.41
71.2,127.4,BTM-DMT,-3.57,,3.57,1.0,8557.5,8561.07
94.9,61.8,BTM-DMT,-6.37,,6.37,1.0,8554.5,8560.87
96.5,-96.5,BTM-DMT,-7.97,,7.97,1.0,8548.75,8556.72
96.5,19.3,BTM-DMT,-8.18,,8.18,1.0,8563.25,8571.43
136.2,19.3,BTM-DMT,-7.99,,7.99,1.0,8545.75,8553.74
141.9,-35.9,BTM-DMT,-4.13,,4.13,1.0,8556.0,8560.13
-136.2,-57.9,BTM-TFK,-8.86,,8.86,1.0,8610.75,8619.61
-136.2,57.9,BTM-TFK,-6.46,,6.46,1.0,8617.0,8623.46
-118.6,-3.6,BTM-TFK,6.43,,6.43,1.0,8553.75,8547.32
-96.5,-57.9,BTM-TFK,5.02,,5.02,1.0,8557.75,8552.73
-96.5,96.5,BTM-TFK,7.29,,7.29,1.0,8552.25,8544.96
-71.2,61.9,BTM-TFK,4.91,,4.91,1.0,8568.25,8563.34
-57.9,-136.2,BTM-TFK,-8.06,,8.06,1.0,8610.5,8618.56
-57.9,-96.5,BTM-TFK,5.6,,5.6,1.0,8555.5,8549.9
-57.9,19.3,BTM-TFK,1.48,,1.48,1.0,8593.0,8591.52
-57.9,96.5,BTM-TFK,5.88,,5.88,1.0,8557.75,8551.87
-57.9,136.2,BTM-TFK,-4.37,,4.37,1.0,8617.25,8621.62
-47.5,-36.4,BTM-TFK,1.89,,1.89,1.0,8594.75,8592.86
-19.3,-57.9,BTM-TFK,1.66,,1.66,1.0,8592.5,8590.84
-19.3,57.9,BTM-TFK,3.72,,3.72,1.0,8592.0,8588.28
0.0,-134.7,BTM-TFK,5.75,,5.75,1.0,8547.75,8542.0
0.0,-3.6,BTM-TFK,0.46,,0.46,1.0,8611.75,8611.29
0.0,127.4,BTM-TFK,6.54,,6.54,1.0,8550.75,8544.21
19.3,-96.5,BTM-TFK,4.85,,4.85,1.0,8564.5,8559.65
19.3,-19.3,BTM-TFK,1.01,,1.01,1.0,8602.0,8600.99
19.3,19.3,BTM-TFK,0.55,,0.55,1.0,8601.25,8600.7
19.3,96.5,BTM-TFK,4.92,,4.92,1.0,8565.75,8560.83
57.9,-136.2,BTM-TFK,-5.95,,5.95,1.0,8606.75,8612.7
57.9,57.9,BTM-TFK,4.41,,4.41,1.0,8574.0,8569.59
71.2,-69.2,BTM-TFK,4.78,,4.78,1.0,8564.75,8559.97
71.2,-3.6,BTM-TFK,3.24,,3.24,1.0,8578.5,8575.26
71.2,127.4,BTM-TFK,5.35,,5.35,1.0,8557.5,8552.15
94.9,61.8,BTM-TFK,5.72,,5.72,1.0,8554.5,8548.78
96.5,-96.5,BTM-TFK,5.1,,5.1,1.0,8548.75,8543.65
96.5,19.3,BTM-TFK,4.5,,4.5,1.0,8563.25,8558.75
136.2,19.3,BTM-TFK,7.07,,7.07,1.0,8545.75,8538.68
136.2,57.9,BTM-TFK,-0.16,,0.16,1.0,8606.0,8606.16
141.9,-35.9,BTM-TFK,-2.91,,2.91,1.0,8556.0,8558.91
