X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-6.47,5.3,6.47,8.0,8622.16,8628.63
-135.0,57.0,DMT-TFK,-10.99,3.3,10.99,8.0,8623.36,8634.36
-120.0,-3.0,DMT-TFK,10.42,4.11,10.42,8.0,8577.49,8567.07
-96.0,-57.0,DMT-TFK,11.66,2.79,11.66,8.0,8584.09,8572.43
-96.0,96.0,DMT-TFK,12.74,3.62,12.74,8.0,8577.14,8564.39
-72.0,63.0,DMT-TFK,11.26,3.66,11.26,8.0,8598.28,8587.02
-57.0,-135.0,DMT-TFK,-6.39,8.34,6.39,8.0,8626.48,8632.88
-57.0,-96.0,DMT-TFK,12.07,3.18,12.07,8.0,8582.28,8570.21
-57.0,18.0,DMT-TFK,11.03,3.25,11.03,8.0,8626.2,8615.17
-57.0,96.0,DMT-TFK,12.3,3.67,12.3,8.0,8586.25,8573.94
-57.0,135.0,DMT-TFK,-11.63,4.84,11.63,8.0,8627.88,8639.51
-48.0,-36.0,DMT-TFK,9.69,3.68,9.69,8.0,8625.84,8616.15
-18.0,-57.0,DMT-TFK,10.25,3.06,10.25,8.0,8624.06,8613.8
-18.0,57.0,DMT-TFK,11.68,3.99,11.68,8.0,8625.89,8614.21
0.0,-135.0,DMT-TFK,11.09,4.2,11.09,8.0,8573.5,8562.41
0.0,0.0,DMT-TFK,12.01,3.11,12.01,8.0,8640.41,8628.4
0.0,126.0,DMT-TFK,11.94,3.58,11.94,8.0,8578.4,8566.46
18.0,-96.0,DMT-TFK,12.26,3.64,12.26,8.0,8593.72,8581.46
18.0,-21.0,DMT-TFK,10.24,3.01,10.24,8.0,8629.6,8619.35
18.0,18.0,DMT-TFK,11.09,3.27,11.09,8.0,8630.82,8619.73
18.0,96.0,DMT-TFK,11.4,2.96,11.4,8.0,8595.87,8584.48
57.0,-135.0,DMT-TFK,-4.8,9.66,4.8,8.0,8629.06,8633.86
57.0,57.0,DMT-TFK,11.87,3.12,11.87,8.0,8605.27,8593.4
72.0,-69.0,DMT-TFK,9.9,2.51,9.9,8.0,8592.09,8582.19
72.0,-3.0,DMT-TFK,9.15,3.89,9.15,8.0,8608.51,8599.35
72.0,126.0,DMT-TFK,6.45,3.12,6.45,8.0,8581.31,8574.86
96.0,-96.0,DMT-TFK,11.0,2.45,11.0,8.0,8575.18,8564.17
96.0,18.0,DMT-TFK,11.0,2.5,11.0,8.0,8592.04,8581.04
96.0,63.0,DMT-TFK,9.57,2.96,9.57,8.0,8580.83,8571.26
135.0,18.0,DMT-TFK,11.78,3.92,11.78,8.0,8573.17,8561.39
141.0,-36.0,DMT-TFK,-2.48,4.54,2.48,8.0,8579.05,8581.54
-136.2,-57.9,BTM-DMT,40.38,3.26,40.38,4.0,8610.75,8570.37
-136.2,57.9,BTM-DMT,45.89,1.83,45.89,4.0,8617.0,8571.11
-118.6,-3.6,BTM-DMT,-7.62,1.53,7.62,4.0,8553.75,8561.37
-96.5,-57.9,BTM-DMT,-8.71,0.81,8.71,4.0,8557.75,8566.46
-96.5,96.5,BTM-DMT,-8.61,1.39,8.61,4.0,8552.25,8560.86
-71.2,61.9,BTM-DMT,-9.56,0.49,9.56,4.0,8568.25,8577.81
-57.9,-136.2,BTM-DMT,37.39,5.59,37.39,4.0,8610.5,8573.11
-57.9,-96.5,BTM-DMT,-9.03,2.01,9.03,4.0,8555.5,8564.53
-57.9,19.3,BTM-DMT,-12.23,1.62,12.23,4.0,8593.0,8605.23
-57.9,96.5,BTM-DMT,-8.66,2.06,8.66,4.0,8557.75,8566.41
-57.9,136.2,BTM-DMT,47.16,2.98,47.16,4.0,8617.25,8570.09
-47.5,-36.4,BTM-DMT,-11.07,0.55,11.07,4.0,8594.75,8605.82
-19.3,-57.9,BTM-DMT,-11.37,0.82,11.37,4.0,8592.5,8603.87
-19.3,57.9,BTM-DMT,-11.4,0.86,11.4,4.0,8592.0,8603.4
0.0,-134.7,BTM-DMT,-8.59,1.99,8.59,4.0,8547.75,8556.34
0.0,-3.6,BTM-DMT,-14.01,1.77,14.01,4.0,8611.75,8625.76
0.0,127.4,BTM-DMT,-8.69,1.17,8.69,4.0,8550.75,8559.44
19.3,-96.5,BTM-DMT,-10.07,0.93,10.07,4.0,8564.5,8574.57
19.3,-19.3,BTM-DMT,-11.63,1.28,11.63,4.0,8602.0,8613.63
19.3,19.3,BTM-DMT,-13.0,1.54,13.0,4.0,8601.25,8614.25
19.3,96.5,BTM-DMT,-9.06,0.7,9.06,4.0,8565.75,8574.81
57.9,-136.2,BTM-DMT,32.66,5.52,32.66,4.0,8606.75,8574.09
57.9,57.9,BTM-DMT,-9.92,0.61,9.92,4.0,8574.0,8583.92
71.2,-69.2,BTM-DMT,-7.09,0.94,7.09,4.0,8564.75,8571.84
71.2,-3.6,BTM-DMT,-8.91,0.68,8.91,4.0,8578.5,8587.41
71.2,127.4,BTM-DMT,-3.57,0.78,3.57,4.0,8557.5,8561.07
94.9,61.8,BTM-DMT,-6.37,1.27,6.37,4.0,8554.5,8560.87
96.5,-96.5,BTM-DMT,-7.97,2.16,7.97,4.0,8548.75,8556.72
96.5,19.3,BTM-DMT,-8.18,1.33,8.18,4.0,8563.25,8571.43
136.2,19.3,BTM-DMT,-7.99,1.86,7.99,4.0,8545.75,8553.74
141.9,-35.9,BTM-DMT,-4.13,1.13,4.13,4.0,8556.0,8560.13
-136.2,-57.9,BTM-TFK,-8.86,2.68,8.86,4.0,8610.75,8619.61
-136.2,57.9,BTM-TFK,-6.46,1.41,6.46,4.0,8617.0,8623.46
-118.6,-3.6,BTM-TFK,6.43,0.1,6.43,4.0,8553.75,8547.32
-96.5,-57.9,BTM-TFK,5.02,0.96,5.02,4.0,8557.75,8552.73
-96.5,96.5,BTM-TFK,7.29,1.02,7.29,4.0,8552.25,8544.96
-71.2,61.9,BTM-TFK,4.91,1.11,4.91,4.0,8568.25,8563.34
-57.9,-136.2,BTM-TFK,-8.06,4.02,8.06,4.0,8610.5,8618.56
-57.9,-96.5,BTM-TFK,5.6,0.75,5.6,4.0,8555.5,8549.9
-57.9,19.3,BTM-TFK,1.48,1.15,1.48,4.0,8593.0,8591.52
-57.9,96.5,BTM-TFK,5.88,1.93,5.88,4.0,8557.75,8551.87
-57.9,136.2,BTM-TFK,-4.37,2.8,4.37,4.0,8617.25,8621.62
-47.5,-36.4,BTM-TFK,1.89,1.33,1.89,4.0,8594.75,8592.86
-19.3,-57.9,BTM-TFK,1.66,1.39,1.66,4.0,8592.5,8590.84
-19.3,57.9,BTM-TFK,3.72,1.71,3.72,4.0,8592.0,8588.28
0.0,-134.7,BTM-TFK,5.75,0.83,5.75,4.0,8547.75,8542.0
0.0,-3.6,BTM-TFK,0.46,1.12,0.46,4.0,8611.75,8611.29
0.0,127.4,BTM-TFK,6.54,1.35,6.54,4.0,8550.75,8544.21
19.3,-96.5,BTM-TFK,4.85,1.29,4.85,4.0,8564.5,8559.65
19.3,-19.3,BTM-TFK,1.01,1.3,1.01,4.0,8602.0,8600.99
19.3,19.3,BTM-TFK,0.55,1.8,0.55,4.0,8601.25,8600.7
19.3,96.5,BTM-TFK,4.92,0.74,4.92,4.0,8565.75,8560.83
57.9,-136.2,BTM-TFK,-5.95,3.59,5.95,4.0,8606.75,8612.7
57.9,57.9,BTM-TFK,4.41,0.54,4.41,4.0,8574.0,8569.59
71.2,-69.2,BTM-TFK,4.78,0.87,4.78,4.0,8564.75,8559.97
71.2,-3.6,BTM-TFK,3.24,1.44,3.24,4.0,8578.5,8575.26
71.2,127.4,BTM-TFK,5.35,0.35,5.35,4.0,8557.5,8552.15
94.9,61.8,BTM-TFK,5.72,1.68,5.72,4.0,8554.5,8548.78
96.5,-96.5,BTM-TFK,5.1,1.75,5.1,4.0,8548.75,8543.65
96.5,19.3,BTM-TFK,4.5,2.43,4.5,4.0,8563.25,8558.75
136.2,19.3,BTM-TFK,7.07,1.98,7.07,4.0,8545.75,8538.68
136.2,57.9,BTM-TFK,-0.16,1.15,0.16,4.0,8606.0,8606.16
141.9,-35.9,BTM-TFK,-2.91,3.99,2.91,4.0,8556.0,8558.91
