WaferID,Tool,Mean_Thickness,Std_Thickness,Count
AANBD055TEC2,DMT,8625.47,23.96,31
AANBD067TEA4,DMT,8625.78,25.52,31
AANBD078TEB7,DMT,8618.09,21.15,31
AANBD103TEH2,DMT,8618.66,24.12,31
AANBD203TEG3,DMT,8588.6,27.78,31
AANBD205TEA1,DMT,8588.37,25.03,31
AANBD225TEB6,DMT,8584.1,25.09,31
AANBD228TEH1,DMT,8580.91,24.84,31
AANBD055TEC2,TFK,8618.92,25.58,31
AANBD067TEA4,TFK,8620.27,27.33,31
AANBD078TEB7,TFK,8610.95,22.53,31
AANBD103TEH2,TFK,8611.19,25.07,31
AANBD203TEG3,TFK,8577.69,30.53,31
AANBD205TEA1,TFK,8577.67,29.17,31
AANBD225TEB6,TFK,8572.12,27.56,31
AANBD228TEH1,TFK,8568.64,26.62,31
AANBD203TEG3,BTM,8579.65,26.72,31
AANBD205TEA1,BTM,8579.16,24.63,31
AANBD225TEB6,BTM,8574.94,23.6,31
AANBD228TEH1,BTM,8571.61,22.71,31
